code,api_url,name,start_urls,model,id,is_fixed,page,url_xpath,titles_xpath,dates_xpath,authors_xpath,references_xpath,Related to 정리 (Column)
aniscience,/notice/aniscience,동물자원과학과,http://aniscience.kangwon.ac.kr/bbs/board.php?bo_table=sub05_1,Aniscience,wr_id,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]/strong/i",page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/div/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/div/a/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[5]/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[3]/span/text()",null,
ace,/notice/ace,문화예술·공과대학,http://ace.kangwon.ac.kr/index.php?mp=4_1,Ace,BID,"//*[@id=""bbsWrap""]/table/tbody/tr/td[1]/img",cpage,"//*[@id=""bbsWrap""]/table/tbody/tr/td[2]/a","//*[@id=""bbsWrap""]/table/tbody/tr/td[2]/a/text()","//*[@id=""bbsWrap""]/table/tbody/tr/td[3]/text()",null,null,
architecture,/notice/architecture,건축학과,http://architecture.kangwon.ac.kr/nano/www/board/list.php?bid_=comm_notice,Architecture,idx,/html/body/table/tbody/tr[1]/td/table/tbody/tr/td[2]/div/form/table/tbody/tr/td[1],page,/html/body/table/tbody/tr[1]/td/table/tbody/tr/td[2]/div/form/table/tbody/tr/td[2]/a,/html/body/table/tbody/tr[1]/td/table/tbody/tr/td[2]/div/form/table/tbody/tr/td[2]/a/text(),/html/body/table/tbody/tr[1]/td/table/tbody/tr/td[2]/div/form/table/tbody/tr/td[4]/text(),/html/body/table/tbody/tr[1]/td/table/tbody/tr/td[2]/div/form/table/tbody/tr/td[3]/text(),null,
archi,/notice/archi,건축공학과,http://archi.kangwon.ac.kr/index.php?mt=page&mp=4_1_1,Archi,BID,"//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[1]/img",cpage,"//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[2]/a","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[2]/a/text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[4]/text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[3]/text()",null,
civil,/notice/civil,토목공학과,http://civil.kangwon.ac.kr/2014/index.php?mt=page&mp=6_1,Civil,BID,"//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[1]",cpage,"//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[2]/a","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[2]/a/text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[4]/text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[3]/text()",null,https://www.notion.so/eb309e9b7cd4444a8ceef631086eebc2
environ,/notice/environ,환경공학과,http://environ.kangwon.ac.kr/environ/bbs_list.php?bbs_data=c3RhcnRQYWdlPTAmY29kZT1zdWIwN2EmdGFibGU9Y3NfYmJzX2RhdGEmc2VhcmNoX2l0ZW09JnNlYXJjaF9vcmRlcj0mdXJsPXN1YjA3YSZrZXl2YWx1ZT1zdWIwNw==||,Environ,bbs_data,/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[1]/img,null,/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[2]/a,/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[2]/a/text(),/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[4]/text(),/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[3]/text(),null,https://www.notion.so/id-17deeaec513141969a9934366e4a95e8
mechanical,/notice/mechanical,기계의용공학과,http://mechanical.kangwon.ac.kr/index.php?mt=page&mp=5_1,Mechanical,BID,"//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[1]/img",cpage,"//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[2]/a","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[2]/a/text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[4]/text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[3]/text()",null,
mecha,/notice/mecha,메카트로닉스공학과,https://mecha.kangwon.ac.kr/mecha/bbs_list.php?bbs_data=c3RhcnRQYWdlPTAmY29kZT1zdWIwN2EmdGFibGU9Y3NfYmJzX2RhdGEmc2VhcmNoX2l0ZW09JnNlYXJjaF9vcmRlcj0mdXJsPXN1YjA3YSZrZXl2YWx1ZT1zdWIwNw==||,Mecha,bbs_data,/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[1]/text(),null,/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[2]/a,/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[2]/a/text(),/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[4]/text(),/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[3]/text(),null,"https://www.notion.so/eb309e9b7cd4444a8ceef631086eebc2, https://www.notion.so/id-17deeaec513141969a9934366e4a95e8"
material,/notice/material,재료공학과,http://material.kangwon.ac.kr/index.php?mt=page&mp=5_1_1,Material,BID,"//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[1]/img",cpage,"//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[3]/a","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[3]/a/span/text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[5]/text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[4]/text()",null,
enre,/notice/enre,에너지자원공학과,https://enre.kangwon.ac.kr/index.php?mt=page&mp=5_1,Enre,BID,"//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[1]/img",cpage,"//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[2]/a","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[2]/a/text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[4]/text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[3]/text()",null,
